3.37;33.84;36.25;44.0;25.59;5.36
3.62;21.84;41.09;14.32;25.45;4.59
6.38;40.23;65.19;63.54;28.16;4.33
3.83;25.45;64.35;22.42;21.02;10.55
9.27;36.41;46.54;27.78;25.51;5.61
13.98;16.05;25.97;16.55;25.54;17.42
4.04;27.97;56.45;89.03;18.24;5.97
4.29;23.98;28.68;25.52;10.77;1.79
2.51;33.49;45.28;15.63;26.07;2.18
9.08;17.72;26.61;35.36;64.92;20.05
6.07;44.36;80.02;23.53;32.09;5.99
3.04;20.83;29.68;82.05;88.4;13.56
0.23;42.88;11.56;22.87;29.93;3.12
4.15;23.2;38.68;18.81;18.05;3.34
2.66;29.24;44.04;34.93;39.75;5.73
6.72;44.79;67.62;18.78;16.28;7.07
1.98;24.97;44.79;33.32;41.43;1.49
7.52;10.89;69.32;68.61;59.5;11.69
4.2;16.64;36.22;21.18;11.76;2.73
4.41;0.5;32.88;56.41;19.02;4.92
18.7;15.34;20.13;122.56;56.78;10.46
5.16;20.71;51.2;26.46;40.34;7.72
3.69;4.14;21.13;46.35;15.42;5.31
2.66;27.03;52.0;47.26;32.5;3.58
5.81;30.64;113.96;48.62;23.93;6.75
7.89;20.21;32.22;38.96;60.4;6.92
6.02;9.44;37.08;32.49;9.18;6.65
4.99;24.27;45.25;54.84;37.83;3.15
8.15;38.66;72.41;56.24;25.34;5.38
5.6;8.32;27.11;70.68;74.11;4.82
5.2;55.89;122.8;70.39;36.56;3.53
5.99;27.48;50.83;38.39;22.92;6.05
4.56;17.63;58.6;62.57;15.18;29.83
2.52;39.93;41.16;26.65;22.6;4.15
7.88;73.07;125.64;170.52;58.58;6.62
8.5;37.53;106.88;51.35;64.78;14.45
6.98;99.52;108.51;142.52;33.75;6.52
5.61;26.74;79.03;73.22;23.83;5.08
17.39;122.43;187.0;220.53;120.2;18.07
6.54;90.75;100.74;16.7;32.06;9.83
7.68;67.34;78.97;40.9;47.82;5.62
2.95;36.99;20.91;45.43;32.85;5.18
4.06;30.0;41.52;23.71;43.68;2.76
12.09;23.12;48.92;38.26;41.98;8.17
5.18;26.14;65.2;50.84;38.7;2.61
2.51;21.97;50.9;30.27;15.04;2.39
1.38;30.28;18.03;38.07;38.87;7.88
9.54;70.38;126.17;187.86;161.83;17.25
7.23;36.44;74.43;42.3;26.93;6.03
11.52;47.04;95.82;39.51;17.75;8.74
